TDP_W,V_air_ms,k_tim_WmK,R_total_CW,T_junction_C
30.0,0.5,1.0,0.4421804040593512,38.265412121780535
30.0,0.5,1.5789473684210527,0.42666012187240243,37.799803656172074
30.0,0.5,2.1578947368421053,0.4194677959808895,37.584033879426684
30.0,0.5,2.736842105263158,0.4153183771973244,37.45955131591973
30.0,0.5,3.3157894736842106,0.4126179617984963,37.37853885395489
30.0,0.5,3.8947368421052633,0.4107203725993198,37.32161117797959
30.0,0.5,4.473684210526316,0.40931392413404777,37.279417724021435
30.0,0.5,5.052631578947368,0.40822978677540067,37.24689360326202
30.0,0.5,5.631578947368421,0.4073685561633912,37.22105668490174
30.0,0.5,6.210526315789474,0.40666789397056996,37.2000368191171
30.0,0.5,6.7894736842105265,0.40608672455481903,37.18260173664457
30.0,0.5,7.368421052631579,0.40559688176154324,37.167906452846296
30.0,0.5,7.947368421052632,0.4051784067924533,37.1553522037736
30.0,0.5,8.526315789473685,0.4048167617574373,37.14450285272312
30.0,0.5,9.105263157894736,0.4045011062644465,37.135033187933395
30.0,0.5,9.68421052631579,0.40422319218909586,37.12669576567288
30.0,0.5,10.263157894736842,0.40397663252224636,37.11929897566739
30.0,0.5,10.842105263157896,0.40375640447030314,37.112692134109096
30.0,0.5,11.421052631578949,0.4035585036862988,37.10675511058896
30.0,0.5,12.0,0.4033796985919791,37.10139095775937
30.0,1.263157894736842,1.0,0.3890674424670354,36.67202327401106
30.0,1.263157894736842,1.5789473684210527,0.3735471602800865,36.2064148084026
30.0,1.263157894736842,2.1578947368421053,0.36635483438857364,35.99064503165721
30.0,1.263157894736842,2.736842105263158,0.3622054156050085,35.86616246815026
30.0,1.263157894736842,3.3157894736842106,0.3595050002061804,35.78515000618541
30.0,1.263157894736842,3.8947368421052633,0.3576074110070039,35.728222330210116
30.0,1.263157894736842,4.473684210526316,0.35620096254173195,35.68602887625196
30.0,1.263157894736842,5.052631578947368,0.35511682518308474,35.65350475549254
30.0,1.263157894736842,5.631578947368421,0.35425559457107536,35.627667837132265
30.0,1.263157894736842,6.210526315789474,0.3535549323782541,35.60664797134763
30.0,1.263157894736842,6.7894736842105265,0.35297376296250316,35.589212888875096
30.0,1.263157894736842,7.368421052631579,0.35248392016922736,35.57451760507682
30.0,1.263157894736842,7.947368421052632,0.35206544520013744,35.56196335600412
30.0,1.263157894736842,8.526315789473685,0.3517038001651215,35.55111400495365
30.0,1.263157894736842,9.105263157894736,0.35138814467213064,35.54164434016392
30.0,1.263157894736842,9.68421052631579,0.35111023059678004,35.5333069179034
30.0,1.263157894736842,10.263157894736842,0.35086367092993054,35.525910127897916
30.0,1.263157894736842,10.842105263157896,0.3506434428779872,35.519303286339614
30.0,1.263157894736842,11.421052631578949,0.35044554209398293,35.51336626281949
30.0,1.263157894736842,12.0,0.35026673699966326,35.508002109989896
30.0,2.026315789473684,1.0,0.36767974673700987,36.030392402110294
30.0,2.026315789473684,1.5789473684210527,0.35215946455006103,35.56478393650183
30.0,2.026315789473684,2.1578947368421053,0.3449671386585481,35.34901415975644
30.0,2.026315789473684,2.736842105263158,0.340817719874983,35.22453159624949
30.0,2.026315789473684,3.3157894736842106,0.3381173044761549,35.143519134284645
30.0,2.026315789473684,3.8947368421052633,0.3362197152769784,35.08659145830935
30.0,2.026315789473684,4.473684210526316,0.3348132668117064,35.044398004351194
30.0,2.026315789473684,5.052631578947368,0.33372912945305927,35.011873883591775
30.0,2.026315789473684,5.631578947368421,0.33286789884104984,34.98603696523149
30.0,2.026315789473684,6.210526315789474,0.33216723664822856,34.965017099446854
30.0,2.026315789473684,6.7894736842105265,0.33158606723247763,34.94758201697433
30.0,2.026315789473684,7.368421052631579,0.33109622443920184,34.932886733176055
30.0,2.026315789473684,7.947368421052632,0.33067774947011197,34.920332484103355
30.0,2.026315789473684,8.526315789473685,0.33031610443509596,34.90948313305288
30.0,2.026315789473684,9.105263157894736,0.3300004489421051,34.900013468263154
30.0,2.026315789473684,9.68421052631579,0.3297225348667545,34.89167604600264
30.0,2.026315789473684,10.263157894736842,0.329475975199905,34.88427925599715
30.0,2.026315789473684,10.842105263157896,0.32925574714796174,34.87767241443885
30.0,2.026315789473684,11.421052631578949,0.3290578463639574,34.87173539091872
30.0,2.026315789473684,12.0,0.32887904126963774,34.86637123808913
30.0,2.7894736842105265,1.0,0.35501107585913516,35.650332275774055
30.0,2.7894736842105265,1.5789473684210527,0.33949079367218626,35.184723810165586
30.0,2.7894736842105265,2.1578947368421053,0.3322984677806734,34.968954033420204
30.0,2.7894736842105265,2.736842105263158,0.3281490489971083,34.844471469913245
30.0,2.7894736842105265,3.3157894736842106,0.3254486335982802,34.763459007948406
30.0,2.7894736842105265,3.8947368421052633,0.32355104439910365,34.70653133197311
30.0,2.7894736842105265,4.473684210526316,0.3221445959338317,34.66433787801495
30.0,2.7894736842105265,5.052631578947368,0.3210604585751845,34.631813757255536
30.0,2.7894736842105265,5.631578947368421,0.32019922796317507,34.60597683889525
30.0,2.7894736842105265,6.210526315789474,0.31949856577035385,34.584956973110614
30.0,2.7894736842105265,6.7894736842105265,0.3189173963546029,34.56752189063809
30.0,2.7894736842105265,7.368421052631579,0.3184275535613271,34.552826606839815
30.0,2.7894736842105265,7.947368421052632,0.3180090785922372,34.540272357767115
30.0,2.7894736842105265,8.526315789473685,0.31764743355722125,34.52942300671664
30.0,2.7894736842105265,9.105263157894736,0.3173317780642304,34.519953341926914
30.0,2.7894736842105265,9.68421052631579,0.3170538639888798,34.5116159196664
30.0,2.7894736842105265,10.263157894736842,0.31680730432203025,34.50421912966091
30.0,2.7894736842105265,10.842105263157896,0.316587076270087,34.49761228810261
30.0,2.7894736842105265,11.421052631578949,0.3163891754860827,34.49167526458248
30.0,2.7894736842105265,12.0,0.31621037039176303,34.48631111175289
30.0,3.5526315789473686,1.0,0.346283962990987,35.38851888972961
30.0,3.5526315789473686,1.5789473684210527,0.3307636808040382,34.92291042412114
30.0,3.5526315789473686,2.1578947368421053,0.32357135491252526,34.70714064737576
30.0,3.5526315789473686,2.736842105263158,0.31942193612896014,34.58265808386881
30.0,3.5526315789473686,3.3157894736842106,0.31672152073013204,34.50164562190396
30.0,3.5526315789473686,3.8947368421052633,0.31482393153095556,34.444717945928666
30.0,3.5526315789473686,4.473684210526316,0.31341748306568357,34.40252449197051
30.0,3.5526315789473686,5.052631578947368,0.3123333457070364,34.37000037121109
30.0,3.5526315789473686,5.631578947368421,0.3114721150950269,34.34416345285081
30.0,3.5526315789473686,6.210526315789474,0.31077145290220576,34.32314358706617
30.0,3.5526315789473686,6.7894736842105265,0.3101902834864548,34.30570850459364
30.0,3.5526315789473686,7.368421052631579,0.309700440693179,34.29101322079537
30.0,3.5526315789473686,7.947368421052632,0.30928196572408906,34.27845897172267
30.0,3.5526315789473686,8.526315789473685,0.3089203206890731,34.26760962067219
30.0,3.5526315789473686,9.105263157894736,0.30860466519608226,34.25813995588247
30.0,3.5526315789473686,9.68421052631579,0.30832675112073166,34.249802533621946
30.0,3.5526315789473686,10.263157894736842,0.3080801914538821,34.24240574361646
30.0,3.5526315789473686,10.842105263157896,0.3078599634019389,34.235798902058164
30.0,3.5526315789473686,11.421052631578949,0.30766206261793455,34.22986187853804
30.0,3.5526315789473686,12.0,0.3074832575236149,34.224497725708446
30.0,4.315789473684211,1.0,0.3397550137587597,35.19265041276279
30.0,4.315789473684211,1.5789473684210527,0.3242347315718109,34.727041947154326
30.0,4.315789473684211,2.1578947368421053,0.317042405680298,34.511272170408944
30.0,4.315789473684211,2.736842105263158,0.31289298689673284,34.386789606901985
30.0,4.315789473684211,3.3157894736842106,0.3101925714979048,34.305777144937146
30.0,4.315789473684211,3.8947368421052633,0.30829498229872826,34.24884946896185
30.0,4.315789473684211,4.473684210526316,0.30688853383345627,34.20665601500369
30.0,4.315789473684211,5.052631578947368,0.3058043964748091,34.174131894244276
30.0,4.315789473684211,5.631578947368421,0.3049431658627997,34.14829497588399
30.0,4.315789473684211,6.210526315789474,0.30424250366997846,34.127275110099355
30.0,4.315789473684211,6.7894736842105265,0.30366133425422753,34.109840027626824
30.0,4.315789473684211,7.368421052631579,0.30317149146095174,34.095144743828556
30.0,4.315789473684211,7.947368421052632,0.3027530164918618,34.082590494755856
30.0,4.315789473684211,8.526315789473685,0.3023913714568458,34.071741143705374
30.0,4.315789473684211,9.105263157894736,0.302075715963855,34.06227147891565
30.0,4.315789473684211,9.68421052631579,0.30179780188850436,34.05393405665513
30.0,4.315789473684211,10.263157894736842,0.30155124222165486,34.04653726664964
30.0,4.315789473684211,10.842105263157896,0.3013310141697116,34.03993042509135
30.0,4.315789473684211,11.421052631578949,0.30113311338570725,34.033993401571216
30.0,4.315789473684211,12.0,0.3009543082913876,34.02862924874162
30.0,5.078947368421053,1.0,0.3346081407036954,35.03824422111086
30.0,5.078947368421053,1.5789473684210527,0.3190878585167465,34.5726357555024
30.0,5.078947368421053,2.1578947368421053,0.3118955326252336,34.35686597875701
30.0,5.078947368421053,2.736842105263158,0.3077461138416685,34.232383415250055
30.0,5.078947368421053,3.3157894736842106,0.30504569844284035,34.15137095328521
30.0,5.078947368421053,3.8947368421052633,0.30314810924366387,34.094443277309914
30.0,5.078947368421053,4.473684210526316,0.3017416607783919,34.05224982335176
30.0,5.078947368421053,5.052631578947368,0.3006575234197447,34.01972570259234
30.0,5.078947368421053,5.631578947368421,0.2997962928077353,33.993888784232055
30.0,5.078947368421053,6.210526315789474,0.29909563061491407,33.97286891844742
30.0,5.078947368421053,6.7894736842105265,0.29851446119916314,33.955433835974894
30.0,5.078947368421053,7.368421052631579,0.29802461840588734,33.94073855217662
30.0,5.078947368421053,7.947368421052632,0.2976061434367974,33.92818430310392
30.0,5.078947368421053,8.526315789473685,0.29724449840178147,33.917334952053444
30.0,5.078947368421053,9.105263157894736,0.2969288429087906,33.90786528726372
30.0,5.078947368421053,9.68421052631579,0.29665092883344,33.8995278650032
30.0,5.078947368421053,10.263157894736842,0.29640436916659046,33.892131074997714
30.0,5.078947368421053,10.842105263157896,0.2961841411146472,33.88552423343941
30.0,5.078947368421053,11.421052631578949,0.2959862403306429,33.879587209919286
30.0,5.078947368421053,12.0,0.2958074352363232,33.874223057089694
