model,target,MAE,RMSE,R2
decision_tree,R_total_CW,0.0013558006275086185,0.002513428832184857,0.9941588727064828
decision_tree,T_junction_C,0.1909590976293891,0.4102704954315744,0.9996195863351433
random_forests,R_total_CW,0.0006526101087032703,0.001789198042540161,0.9970400776764393
random_forests,T_junction_C,0.09062933848234017,0.28112364877257173,0.9998213881374906
